display_id,kind,track_id,label,start_x,start_y,end_x,end_y,avg_confidence,first_timestamp,last_timestamp
person_ID_1,FLUSH,5,person,242,312,638,248,0.9012,2026-07-28 00:21:30.457,2026-07-28 00:21:32.199
person_ID_2,FLUSH,8,person,654,238,1203,457,0.8933,2026-07-28 00:21:33.926,2026-07-28 00:21:38.124
person_ID_4,FLUSH,12,person,1252,339,1252,339,0.4014,2026-07-28 00:21:39.061,2026-07-28 00:21:39.528
person_ID_3,FLUSH,11,person,1252,480,271,323,0.8742,2026-07-28 00:21:39.060,2026-07-28 00:21:42.793
person_ID_5,FLUSH,18,person,241,310,230,313,0.9083,2026-07-28 00:21:45.657,2026-07-28 00:21:56.162
person_ID_6,FLUSH,25,person,252,310,643,271,0.8434,2026-07-28 00:21:57.959,2026-07-28 00:22:00.158
person_ID_7,FLUSH,28,person,654,253,240,311,0.8830,2026-07-28 00:22:01.892,2026-07-28 00:22:03.961
person_ID_8,FLUSH,30,person,250,335,1166,553,0.9121,2026-07-28 00:22:06.428,2026-07-28 00:22:09.664
person_ID_9,FLUSH,33,person,1252,607,650,282,0.8653,2026-07-28 00:22:11.029,2026-07-28 00:22:15.693
person_ID_10,FINALIZE,37,person,653,210,243,348,0.8603,2026-07-28 00:22:16.760,2026-07-28 00:22:19.623
